citing_paper,.out,time_unit,Species
"CHIPPINDALE, C 1986 ARCHAEOLOGY, DESIGN THEORY, AND THE RECONSTRUCTION OF PREHISTORIC DESIGN
   SYSTEMS ENVIRONMENT AND PLANNING B-PLANNING & DESIGN",ARNOLD DEAN E 1985 CERAMIC THEORY CULTU,1986,community 17
"CHIPPINDALE, C 1986 ARCHAEOLOGY, DESIGN THEORY, AND THE RECONSTRUCTION OF PREHISTORIC DESIGN
   SYSTEMS ENVIRONMENT AND PLANNING B-PLANNING & DESIGN",CLARKE D L 1968 ANAL ARCHAEOLOGY,1986,community 5
"CHIPPINDALE, C 1986 ARCHAEOLOGY, DESIGN THEORY, AND THE RECONSTRUCTION OF PREHISTORIC DESIGN
   SYSTEMS ENVIRONMENT AND PLANNING B-PLANNING & DESIGN",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1986,community 5
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",BINFORD L 1981 BONES ANCIENT MEN MO,1986,community 4
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",BINFORD L 1978 NUNAMIUT ETHNOARCHAE,1986,community 4
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1986,community 5
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",CLARKE D L 1968 ANAL ARCHAEOLOGY,1986,community 5
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1986,community 5
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",HODDER I 1982 SYMBOLS ACTION ETHNO,1986,community 5
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",SEMENOV SA 1964 PREHISTORIC TECHNOLO,1986,community 20
"TRIGGER, BG 1986 PROSPECTS FOR A WORLD ARCHAEOLOGY WORLD ARCHAEOLOGY",TRIGGER BG 1984 MAN V19 P355 DOI 1023072802176,1986,community 5
"FLETCHER, R 1986 SETTLEMENT ARCHAEOLOGY - WORLDWIDE COMPARISONS WORLD ARCHAEOLOGY",BAILEY GN 1983 ANNU REV ANTHROPOL V12 P165 DOI 101146ANNUREVAN12100183001121,1986,community 18
"SOLOMON, S
   MINNEGAL, M
   DWYER, P 1986 BOWER BIRDS, BONES AND ARCHAEOLOGY JOURNAL OF ARCHAEOLOGICAL SCIENCE",BINFORD L 1981 BONES ANCIENT MEN MO,1986,community 4
"TAYLOR, RE 1987 DATING TECHNIQUES IN ARCHAEOLOGY AND PALEOANTHROPOLOGY ANALYTICAL CHEMISTRY",AITKEN M J 1985 THERMOLUMINESCENCE D,1987,community 7
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",CHISHOLM BS 1982 SCIENCE V216 P1131 DOI 101126SCIENCE21645501131,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",DENIRO MJ 1978 GEOCHIM COSMOCHIM AC V42 P495 DOI 1010160016703778901990,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",DENIRO MJ 1981 GEOCHIM COSMOCHIM AC V45 P341 DOI 1010160016703781902441,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",DENIRO MJ 1985 NATURE V317 P806 DOI 101038317806A0,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",SCHOENINGER MJ 1983 SCIENCE V220 P1381 DOI 101126SCIENCE6344217,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",SCHOENINGER MJ 1984 GEOCHIM COSMOCHIM AC V48 P625 DOI 1010160016703784900917,1987,community 3
"DENIRO, MJ 1987 STABLE ISOTOPY AND ARCHAEOLOGY AMERICAN SCIENTIST",VANDERMERWE NJ 1982 AM SCI V70 P596,1987,community 3
"KOHLER, TA
   BLINMAN, E 1987 SOLVING MIXTURE PROBLEMS IN ARCHAEOLOGY - ANALYSIS OF CERAMIC MATERIALS
   FOR DATING AND DEMOGRAPHIC RECONSTRUCTION JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",BINFORD L 1978 NUNAMIUT ETHNOARCHAE,1987,community 4
"FOWLER, DD 1987 USES OF THE PAST - ARCHAEOLOGY IN THE SERVICE OF THE STATE AMERICAN ANTIQUITY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1987,community 5
"FOWLER, DD 1987 USES OF THE PAST - ARCHAEOLOGY IN THE SERVICE OF THE STATE AMERICAN ANTIQUITY",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1987,community 5
"FOWLER, DD 1987 USES OF THE PAST - ARCHAEOLOGY IN THE SERVICE OF THE STATE AMERICAN ANTIQUITY",TRIGGER BG 1984 MAN V19 P355 DOI 1023072802176,1987,community 5
"LEONE, MP
   POTTER, PB
   SHACKEL, PA 1987 TOWARD A CRITICAL ARCHAEOLOGY CURRENT ANTHROPOLOGY",GLASSIE H 1975 FOLK HOUSING MIDDLE,1987,community 13
"LEONE, MP
   POTTER, PB
   SHACKEL, PA 1987 TOWARD A CRITICAL ARCHAEOLOGY CURRENT ANTHROPOLOGY",HODDER IAN 1982 SYMBOLIC STRUCTURAL,1987,community 5
"SMALL, DB 1987 TOWARD A COMPETENT STRUCTURALIST ARCHAEOLOGY - A CONTRIBUTION FROM
   HISTORICAL STUDIES JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY",BINFORD L 1978 NUNAMIUT ETHNOARCHAE,1987,community 4
"CORDELL, LS
   UPHAM, S
   BROCK, SL 1987 OBSCURING CULTURAL-PATTERNS IN THE ARCHAEOLOGICAL RECORD - A DISCUSSION
   FROM SOUTHWESTERN ARCHAEOLOGY AMERICAN ANTIQUITY",BINFORD LR 1962 AM ANTIQUITY V28 P217 DOI 102307278380,1987,community 5
