Species,AuthorsTitleCase
community 1,"Ingold, Bourdieu, Latour, Tilley, Giddens, Olsen, Thomas, Dobres, Bradley, Gell, Jones, Barrett, Kopytoff, Bender, Hodder, Gosden, Connerton, Smith, Lightfoot, Webmoor, Appadurai, Knappett, Witmore, Bennett, Bruck, Delanda, Fleming, Llobera, Shanks"
community 2,"Henshilwood, Mcbrearty, Derrico, Erlandson, Boyd, Eerkens, Shennan, Marean, Dunnell, Neiman, Klein, Henrich, Powell, Mellars, Cavallisforza, Mcdougall, Shea, Bouzouggar, Zilhao, Baryosef, Bettinger, Vanhaeren, White, Ambrose, Wadley, Yesner"
community 3,"Deniro, Ambrose, Schoeninger, Vandermerwe, Hedges, Van, Brown, Chisholm, Tieszen, Richards"
community 4,"Binford, Lyman, Behrensmeyer, Nelson, Andrefsky, Bamforth, Bunn, Marean"
community 5,"Trigger, Shanks, Binford, Hodder, Clarke"
community 6,"Lightfoot, Silliman, Gosden, Thomas, Voss, Rubertone"
community 7,"Aitken, Murray, Prescott, Galbraith, Adamiec, Mejdahl"
community 8,"Kennett, Arnold, Rick, Erlandson, Braje"
community 9,"Reimer, Bronk, Ramsey, Stuiver, Hogg"
community 10,"Huffman, Kuper"
community 11,"Courty, Bullock, Stoops, Goldberg"
community 12,"Schiffer, Binford"
community 13,"Deetz, Orser, Hall, Glassie"
community 14,"Reimer, Ramsey"
community 15,"Moore, Faegri, Stockmarr"
community 16,"Bell, Burgio, Bouchard"
community 17,"Rice, Arnold, Rye"
community 18,"Bailey, Lucas"
community 19,"Horton, Kusimba"
community 20,"Keeley, Semenov, Tringham"
community 21,"Williams, Shennan, Surovell"
community 22,"Miglio, Casagrande, Stello"
community 23,"Wheatley, Conolly"
community 24,Roberts
community 25,Stuiver
community 26,"Beers, Cayrel"
community 27,Piperno
community 28,"Anthony, Burmeister"
community 29,"Middleton, Parnell"
community 30,"Marshall, Moser"
community 31,Smith
community 32,"Buchli, Harrison"
community 33,"Ferguson, Singleton"
community 34,"Doneus, Devereux"
community 35,"Wilk, Hendon"
community 36,"Bentley, Price"
community 37,"Weiss, Cullen"
community 38,"Atalay, Silliman"
