Species,AuthorsTitleCase
community 1,"Ingold, Bourdieu, Latour, Tilley, Giddens, Olsen, Thomas, Dobres, Bradley, Gell, Jones, Barrett, Kopytoff, Bender, Hodder, Gosden, Connerton, Smith, Lightfoot, Webmoor, Appadurai, Knappett, Witmore, Bennett, Bruck, Delanda, Fleming, Llobera, Shanks"
community 2,"Henshilwood, Mcbrearty, Derrico, Erlandson, Boyd, Eerkens, Shennan, Marean, Dunnell, Neiman, Klein, Henrich, Powell, Mellars, Cavallisforza, Mcdougall, Shea, Bouzouggar, Zilhao, Baryosef, Bettinger, Vanhaeren, White, Ambrose, Wadley, Yesner"
community 3,"Deniro, Ambrose, Schoeninger, Vandermerwe, Hedges, Van, Brown, Chisholm, Tieszen, Richards"
community 4,"Binford, Lyman, Behrensmeyer, Nelson, Andrefsky, Bamforth, Bunn, Marean"
community 5,"Trigger, Shanks, Binford, Hodder, Clarke"
community 7,"Aitken, Murray, Prescott, Galbraith, Adamiec, Mejdahl"
community 9,"Reimer, Bronk, Ramsey, Stuiver, Hogg"
community 12,"Schiffer, Binford"
community 13,"Deetz, Orser, Hall, Glassie"
community 20,"Keeley, Semenov, Tringham"
community 25,Stuiver
