it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	
0	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.1971849895382756	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.11919313285026624	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936	0.07799185668800936
1000	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.05848301717870888	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.0032140855925572075	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167	0.05526893158615167
2000	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.013735422466359958	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.09771144867450557	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.0082464492741985	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.005488973192161458	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707	0.08946499940030707
3000	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.030113291559750514	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.12709547849785793	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.0016623026578526433	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.02845098890189787	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053	0.1254331758400053
4000	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.022418473289829346	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.08538069718545228	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.002889101608925196	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.01952937168090415	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709	0.08249159557652709
5000	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.014708707414126386	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.16767572043680956	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.004750800464756994	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.009957906949369391	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258	0.16292491997205258
6000	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.03583930978913428	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.11843479361592776	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.0023870745240515564	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.03345223526508272	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621	0.11604771909187621
7000	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.031657715405477474	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.09672223338028367	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.0048627935084362625	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.02679492189704121	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741	0.09185943987184741
8000	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.027515320160309144	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.08386791162143879	0.22264607062150554	0.22264607062150554	0.22264607062150554	0.22264607062150554	0.22264607062150554	0.22264607062150554	0.22264607062150554	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.004647467392370584	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.02286785276793856	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.07922044422906821	0.21799860322913495	0.21799860322913495	0.21799860322913495	0.21799860322913495	0.21799860322913495	0.21799860322913495	0.21799860322913495
9000	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.013506369041627496	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.07673051223517463	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.0055799021111514495	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.007926466930476047	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318	0.07115061012402318
