it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	-236.96932457824715	-8.77908400318303	-228.19024057506414	1	1	42.0	0.0	861.0
1000	-71.30350759768268	-8.981795697442948	-62.321711900239734	1	1	42.0	0.0	861.0
2000	-64.18671920569419	-11.253806235456128	-52.932912970238064	2	1	42.0	0.0	861.0
3000	-63.51412035378857	-11.352854197955654	-52.16126615583292	2	1	42.0	0.0	861.0
4000	-60.90282530238264	-11.316018475072909	-49.58680682730973	2	1	42.0	0.0	861.0
5000	-64.65256374196866	-11.32225442571638	-53.33030931625229	2	1	42.0	0.0	861.0
6000	-62.35328968295725	-11.305477017583309	-51.04781266537394	2	1	42.0	0.0	861.0
7000	-64.58218944759135	-11.266305058089134	-53.315884389502216	2	1	42.0	0.0	861.0
8000	-62.211553859410074	-14.807327012261917	-47.40422684714816	3	1	42.0	0.0	861.0
9000	-63.92288711052038	-11.292836067284831	-52.63005104323555	2	1	42.0	0.0	861.0
