it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	-898.7011110242215	-9.58209670817979	-889.1190143160417	1	1	42.0	0.0	861.0
1000	-58.46998540272552	-9.703999216740373	-48.76598618598515	1	1	42.0	0.0	861.0
2000	-62.2591044161939	-12.878978807629904	-49.38012560856399	2	1	42.0	0.0	861.0
3000	-59.20613728772193	-9.69148373933805	-49.51465354838388	1	1	42.0	0.0	861.0
4000	-64.00484734807088	-12.933641199801853	-51.07120614826903	2	1	42.0	0.0	861.0
5000	-58.643799358851936	-9.65674718447319	-48.987052174378746	1	1	42.0	0.0	861.0
6000	-58.62614179499247	-9.67381972204467	-48.9523220729478	1	1	42.0	0.0	861.0
7000	-58.470258123495874	-9.695868468051195	-48.77438965544468	1	1	42.0	0.0	861.0
8000	-60.5255358883452	-9.794617858342173	-50.73091803000303	1	1	42.0	0.0	861.0
9000	-59.231590710241534	-9.588339212258877	-49.64325149798266	1	1	42.0	0.0	861.0
