clade	species	ts	te
0	1	35	24
0	2	29	26
0	3	29	26
0	4	21	18
0	5	4	1
0	6	10	8
0	7	7	2
0	8	7	1
0	9	7	4
0	10	9	5
0	11	9	2
0	12	7	2
0	13	7	0
0	14	4	1
0	15	11	9
0	16	6	5
0	17	6	2
0	18	2	0
0	19	2	0
0	20	2	0
0	21	2	1
0	22	4	0
0	23	10	9
0	24	7	4
0	25	6	4
0	26	6	4
0	27	6	4
0	28	10	1
0	29	3	0
0	30	20	2
0	31	7	2
0	32	9	2
0	33	7	2
0	34	9	2
0	35	7	1
0	36	3	2
0	37	20	3
0	38	16	2
0	39	16	3
0	40	7	6
0	41	16	1
0	42	7	4
0	43	4	0
0	44	9	3
0	45	11	3
0	46	8	4
0	47	13	4
0	48	9	4
0	49	6	0
0	50	2	1
0	51	7	3
0	52	9	8
0	53	14	1
0	54	15	2
0	55	13	12
0	56	20	6
0	57	9	4
0	58	24	6
0	59	15	1
0	60	15	1
0	61	9	5
0	62	6	4
0	63	17	4
0	64	17	5
0	65	15	8
0	66	9	6
0	67	7	6
0	68	19	11
0	69	6	5
0	70	6	1
0	71	4	2
0	72	18	5
0	73	18	5
0	74	18	4
0	75	25	11
0	76	9	1
0	77	22	2
0	78	1	0
0	79	6	1
0	80	26	3
0	81	20	18
0	82	6	0
0	83	20	1
0	84	4	0
0	85	7	0
0	86	30	4
0	87	26	1
0	88	10	7
0	89	22	2
0	90	20	0
0	91	18	0
0	92	1	0
0	93	7	0
0	94	3	1
0	95	7	3
0	96	7	1
0	97	7	1
0	98	8	2
0	99	6	3
0	100	12	1
0	101	15	2
0	102	5	4
0	103	14	0
0	104	4	2
0	105	23	4
0	106	9	1
0	107	3	2
0	108	4	2
0	109	5	0
0	110	7	3
0	111	5	4
0	112	21	4
0	113	10	6
0	114	15	10
0	115	14	2
0	116	9	5
0	117	5	2
0	118	14	5
0	119	10	5
0	120	2	1
0	121	3	0
0	122	7	4
0	123	2	0
0	124	2	1
0	125	7	2
0	126	3	1
0	127	8	5
0	128	8	3
0	129	9	2
0	130	2	1
0	131	17	2
0	132	9	1
0	133	11	5
0	134	7	1
0	135	7	2
0	136	3	2
0	137	15	0
0	138	6	3
0	139	10	3
0	140	2	0
