SC,Discipline
Acoustics,Physical
Agriculture,Life
Agriculture; Chemistry; Food Science & Technology,Life
Agriculture; Computer Science,Life
Agriculture; Food Science & Technology,Life
Agriculture; Genetics & Heredity,Life
Agriculture; Plant Sciences,Life
Agriculture; Veterinary Sciences,Life
Agriculture; Water Resources,Life
Anatomy & Morphology,Life
Anatomy & Morphology; Life Sciences & Biomedicine - Other Topics;,Life
Anatomy & Morphology; Zoology,Life
Anthropology,Social
Anthropology; Archaeology,Social
Anthropology; Archaeology; Cultural Studies,Social
Anthropology; Archaeology; Geology,Social
Anthropology; Archaeology; History,Social
Anthropology; Archaeology; Paleontology,Social
Anthropology; Archaeology; Zoology,Social
Anthropology; Area Studies,Social
Anthropology; Asian Studies,Social
Anthropology; Biomedical Social Sciences,Social
Anthropology; Cultural Studies,Social
Anthropology; Education & Educational Research,Social
Anthropology; Environmental Sciences & Ecology; Sociology,Social
Anthropology; Environmental Sciences & Ecology; Sociology; Veterinary,Social
Anthropology; Evolutionary Biology,Social
Anthropology; History,Social
Anthropology; History; Sociology,Social
Anthropology; Life Sciences & Biomedicine - Other Topics,Social
Anthropology; Life Sciences & Biomedicine - Other Topics; Genetics &,Social
Anthropology; Life Sciences & Biomedicine - Other Topics; Public,Social
Anthropology; Linguistics,Social
Anthropology; Public Administration,Social
Anthropology; Social Sciences - Other Topics,Social
Anthropology; Sociology,Social
Archaeology,Social
Archaeology; Architecture,Social
Archaeology; Art,Social
Archaeology; Art; Chemistry; Geology; Materials Science; Spectroscopy,Social
Archaeology; Art; Chemistry; Spectroscopy,Social
Archaeology; Arts & Humanities - Other Topics,Social
Archaeology; Asian Studies,Social
Archaeology; Chemistry; Geology,Social
Archaeology; Environmental Sciences & Ecology; Geology,Social
Archaeology; Geology,Social
Archaeology; History,Social
Architecture,Architecture
Architecture; Art,Architecture
Architecture; Construction & Building Technology; Engineering,Architecture
Architecture; History,Architecture
Architecture; History & Philosophy of Science,Architecture
Area Studies,Social
Area Studies; Arts & Humanities - Other Topics,Social
Area Studies; Asian Studies,Social
Area Studies; Cultural Studies; History,Social
Area Studies; Government & Law,Law
Area Studies; History,Social
Area Studies; Public Administration,Social
Area Studies; Social Sciences - Other Topics,Social
Art,Humanities
Art; Asian Studies,Humanities
Art; Cultural Studies,Humanities
Art; History,Humanities
Art; Philosophy,Humanities
Arts & Humanities - Other Topics,Humanities
Arts & Humanities - Other Topics; Asian Studies,Humanities
Arts & Humanities - Other Topics; Classics,Humanities
Arts & Humanities - Other Topics; Computer Science,Humanities
Arts & Humanities - Other Topics; Cultural Studies,Humanities
Arts & Humanities - Other Topics; Ethnic Studies,Humanities
Arts & Humanities - Other Topics; History,Humanities
Arts & Humanities - Other Topics; Information Science & Library Science,Humanities
Arts & Humanities - Other Topics; Linguistics,Humanities
Arts & Humanities - Other Topics; Literature,Humanities
Arts & Humanities - Other Topics; Psychology,Humanities
Arts & Humanities - Other Topics; Social Sciences - Other Topics,Humanities
Asian Studies,Humanities
Asian Studies; Linguistics,Humanities
Asian Studies; Philosophy,Humanities
Asian Studies; Religion,Humanities
Astronomy & Astrophysics,Physical
Astronomy & Astrophysics; Geology; Meteorology & Atmospheric Sciences,Physical
Astronomy & Astrophysics; Physics,Physical
Automation & Control Systems; Computer Science,Physical
Automation & Control Systems; Computer Science; Engineering,Physical
Automation & Control Systems; Computer Science; Operations Research &,Physical
Automation & Control Systems; Instruments & Instrumentation,Physical
Behavioral Sciences; Engineering; Psychology,Social
Behavioral Sciences; Neurosciences & Neurology; Psychology,Social
Behavioral Sciences; Zoology,Social
Biochemistry & Molecular Biology,Physical
Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology;,Physical
Biochemistry & Molecular Biology; Cell Biology,Physical
Biochemistry & Molecular Biology; Chemistry,Physical
Biochemistry & Molecular Biology; Chemistry; Spectroscopy,Physical
Biochemistry & Molecular Biology; Environmental Sciences & Ecology,Physical
Biochemistry & Molecular Biology; Environmental Sciences & Ecology;,Physical
Biochemistry & Molecular Biology; Evolutionary Biology; Genetics &,Physical
Biochemistry & Molecular Biology; Genetics & Heredity,Physical
Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other,Physical
Biochemistry & Molecular Biology; Mathematical & Computational Biology,Physical
Biochemistry & Molecular Biology; Microbiology,Physical
Biodiversity & Conservation,Life
Biodiversity & Conservation; Environmental Sciences & Ecology,Life
Biodiversity & Conservation; Environmental Sciences & Ecology; Marine &,Life
Biophysics; Chemistry; Spectroscopy,Life
Biophysics; Public Environment ,Life
Biotechnology & Applied Microbiology; Cell Biology,Life
Biotechnology & Applied Microbiology; Environmental Sciences & Ecology,Life
Biotechnology & Applied Microbiology; Food Science & Technology,Life
Biotechnology & Applied Microbiology; Genetics & Heredity,Life
Biotechnology & Applied Microbiology; Plant Sciences,Life
Business & Economics,Social
Business & Economics; Computer Science; Telecommunications,Social
Business & Economics; Geography,Social
Business & Economics; History; Social Sciences - Other Topics,Social
Business & Economics; Operations Research & Management Science,Social
Business & Economics; Public Administration,Social
Business & Economics; Social Sciences - Other Topics,Social
Business & Economics; Sociology,Social
Cardiovascular System & Cardiology; Pediatrics,Medicine
Cell Biology,Life
Cell Biology; Pathology,Life
Chemistry,Physical
Chemistry; Crystallography,Physical
Chemistry; Education & Educational Research,Physical
Chemistry; Electrochemistry; Instruments & Instrumentation,Physical
Chemistry; Engineering,Physical
Chemistry; Environmental Sciences & Ecology,Physical
Chemistry; Food Science & Technology; Nutrition & Dietetics,Physical
Chemistry; Food Science & Technology; Spectroscopy,Physical
Chemistry; Instruments & Instrumentation,Physical
Chemistry; Materials Science,Physical
Chemistry; Materials Science; Mineralogy,Physical
Chemistry; Materials Science; Physics,Physical
Chemistry; Nuclear Science & Technology,Physical
Chemistry; Nuclear Science & Technology; Physics,Physical
"Chemistry; Nuclear Science & Technology; Radiology, Nuclear Medicine",Physical
Chemistry; Physics,Physical
Chemistry; Science & Technology - Other Topics; Materials Science;,Physical
Chemistry; Spectroscopy,Physical
Classics,Humanities
Classics; History,Humanities
Communication,Social
Communication; Environmental Sciences & Ecology,Social
Communication; Film;  Radio & Television,Social
Communication; Information Science & Library Science,Social
Communication; Sociology,Social
Computer Science,Formal
Computer Science; Education & Educational Research,Formal
Computer Science; Education & Educational Research; Engineering,Formal
Computer Science; Engineering,Formal
Computer Science; Engineering; Imaging Science & Photographic Technology,Formal
Computer Science; Engineering; Mathematics,Formal
Computer Science; Engineering; Operations Research & Management Science,Formal
Computer Science; Geography; Physical Geography; Information Science &,Formal
Computer Science; Geology,Formal
Computer Science; History & Philosophy of Science; Mathematics,Formal
Computer Science; Imaging Science & Photographic Technology,Formal
Computer Science; Information Science & Library Science,Formal
Computer Science; Information Science & Library Science; Social Sciences,Formal
Computer Science; Mathematics,Formal
Computer Science; Mathematics; Science & Technology - Other Topics,Formal
Computer Science; Neurosciences & Neurology; Psychology,Formal
Computer Science; Physical Geography,Formal
Computer Science; Telecommunications,Formal
Construction & Building Technology,Formal
Construction & Building Technology; Engineering,Engineering
Construction & Building Technology; Engineering; Public,Engineering
Construction & Building Technology; Materials Science,Engineering
Criminology & Penology,Social
Criminology & Penology; Social Sciences - Other Topics,Social
Crystallography,Physical
Cultural Studies,Social
Cultural Studies; Arts & Humanities - Other Topics,Social
Cultural Studies; Communication,Social
"Cultural Studies; Communication; Film, Radio and Television",Social
Cultural Studies; Women's Studies,Social
Demography,Social
Demography; Ethnic Studies,Social
"Dentistry, Oral Surgery",Medicine
"Dentistry, Oral Surgery and Medicine",Medicine
Dermatology,Medicine
Education & Educational Research,Education
Education & Educational Research; Engineering,Education
Education & Educational Research; Ethnic Studies,Education
