it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	
0	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.24998922157980552	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.15156528322856339	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214	0.09842393835124214
1000	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1287007029343396	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.1072496521277796	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013	0.021451050806560013
2000	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.13532543049831866	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.18073441440685387	0.24277986094362494	0.24277986094362494	0.24277986094362494	0.24277986094362494	0.24277986094362494	0.24277986094362494	0.24277986094362494	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	0.016638044036367074	-0.10745443044530628	-0.10745443044530628	-0.10745443044530628	-0.10745443044530628	-0.10745443044530628	-0.10745443044530628	-0.10745443044530628	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1186873864619516	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868	0.1640963703704868
3000	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.12641304804214465	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.13176714159316427	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	0.014016462643811928	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	-0.005354093551019623	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272	0.11239658539833272
4000	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.12327230447115292	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.2379825021595288	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.23357305186813299	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.0199719516578257	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.020539526743687864	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	0.021526282755599598	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	-0.11030074739698006	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10330035281332722	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10273277772746506	0.10174602171555333	0.10174602171555333	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292	0.2164562194039292
5000	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.12393208901016575	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.16599229677897334	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.15619464381495746	0.01851817003260106	0.01851817003260106	0.01851817003260106	0.01851817003260106	0.027310523002045086	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.01531374338829851	0.03530373629253864	0.03530373629253864	0.03530373629253864	0.04889473373421643	0.022922296335330272	0.022922296335330272	0.022922296335330272	0.022922296335330272	0.022922296335330272	0.022922296335330272	0.0480015711694292	0.0480015711694292	0.0480015711694292	0.0480015711694292	0.0480015711694292	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	-0.032262554804791704	0.10541391897756469	0.10541391897756469	0.10541391897756469	0.10541391897756469	0.09662156600812066	0.10861834562186724	0.10861834562186724	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.15067855339067482	0.1306885604864347	0.1306885604864347	0.1306885604864347	0.11709756304475691	0.14307000044364307	0.14307000044364307	0.14307000044364307	0.14307000044364307	0.14307000044364307	0.14307000044364307	0.11799072560954414	0.11799072560954414	0.11799072560954414	0.11799072560954414	0.11799072560954414
6000	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.11898492541788645	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.16520344542172863	0.23018258427097946	0.23018258427097946	0.23018258427097946	0.23018258427097946	0.23018258427097946	0.23018258427097946	0.23018258427097946	0.05290564706948814	0.05290564706948814	0.05290564706948814	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.034483071962846404	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	0.0078081663701018555	-0.111197658853093	-0.111197658853093	-0.111197658853093	-0.111197658853093	-0.111197658853093	-0.111197658853093	-0.111197658853093	0.06607927834839832	0.06607927834839832	0.06607927834839832	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.08450185345504005	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.1111767590477846	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679	0.15739527905162679
7000	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.13228677323880858	0.7983124980959885	0.7983124980959885	0.7983124980959885	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.07144173687858235	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	0.0383833319447151	-0.6660257248571799	-0.6660257248571799	-0.6660257248571799	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.06084503636022623	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348	0.09390344129409348
8000	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.13150142666583284	0.253037916621907	0.253037916621907	0.253037916621907	0.253037916621907	0.253037916621907	0.253037916621907	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	0.02885237233924572	-0.12153648995607416	-0.12153648995607416	-0.12153648995607416	-0.12153648995607416	-0.12153648995607416	-0.12153648995607416	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712	0.10264905432658712
9000	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.12308748526049519	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.2015350574792564	0.4490811637187527	0.4490811637187527	0.4490811637187527	0.4490811637187527	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.05299619222456181	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.0328131087267722	0.050763932442828986	0.050763932442828986	0.032045657263413053	0.032045657263413053	0.032045657263413053	0.032045657263413053	0.032045657263413053	0.032045657263413053	-0.3259936784582575	-0.3259936784582575	-0.3259936784582575	-0.3259936784582575	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.07009129303593338	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.090274376533723	0.1687219487524842	0.1687219487524842	0.15077112503642742	0.15077112503642742	0.16948940021584336	0.16948940021584336	0.16948940021584336	0.16948940021584336	0.16948940021584336	0.16948940021584336
