it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	824690.9094654716	-8.887888155872727	824699.7973536275	1	1	42.0	0.0	527223.0
1000	847711.7662609253	-8.806702126867219	847720.5729630522	1	1	42.0	0.0	527223.0
2000	873010.117150018	-15.041207310960218	873025.158357329	2	2	42.0	0.0	527223.0
3000	865157.6631989672	-11.951722724509665	865169.6149216917	1	2	42.0	0.0	527223.0
4000	871796.9545912861	-20.924195109689954	871817.8787863958	2	4	42.0	0.0	527223.0
5000	860216.0791731116	-40.86726744320372	860256.9464405548	2	8	42.0	0.0	527223.0
6000	874583.209166706	-21.991865436884062	874605.2010321429	2	4	42.0	0.0	527223.0
7000	883984.1532353748	-16.10132854216287	884000.2545639169	1	3	42.0	0.0	527223.0
8000	875202.0339968409	-12.303507062408263	875214.3375039033	1	2	42.0	0.0	527223.0
9000	881980.0881854574	-26.720964762765313	882006.8091502201	2	5	42.0	0.0	527223.0
