it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	
0	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.1780946429138497	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	0.35757874723611677	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708	-0.17948410432226708
1000	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	1576.1680354461325	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	0.10620282657221496	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604	1576.0618326195604
2000	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	2213.9393875761675	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	518.4911561726987	0.22166616979817338	0.22166616979817338	0.22166616979817338	0.22166616979817338	0.22166616979817338	0.22166616979817338	0.22166616979817338	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	0.024284292822181103	2213.7177214063695	2213.7177214063695	2213.7177214063695	2213.7177214063695	2213.7177214063695	2213.7177214063695	2213.7177214063695	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	2213.915103283345	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765	518.4668718798765
3000	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	3026.0339881151776	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	466.82746922856296	0.5847585722614793	0.5847585722614793	0.5847585722614793	0.09617047161077863	0.09617047161077863	0.09617047161077863	0.09617047161077863	0.09617047161077863	0.09617047161077863	0.09617047161077863	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	0.04365943498134289	3025.4492295429163	3025.4492295429163	3025.4492295429163	3025.9378176435666	3025.9378176435666	3025.9378176435666	3025.9378176435666	3025.9378176435666	3025.9378176435666	3025.9378176435666	3025.9903286801964	3025.9903286801964	3025.9903286801964	3025.9903286801964	3025.9903286801964	3025.9903286801964	3025.9903286801964	3025.9903286801964	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816	466.7838097935816
4000	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	2062.296792557745	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	1022.5716083714638	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	0.10485856092414227	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	2062.191933996821	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396	1022.4667498105396
5000	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	2240.688289094966	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.0730680687289133	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	0.01958119995933878	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.615221026237	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067	2240.6687078950067
6000	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	1995.9183122958248	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	873.9203075837347	0.29499814170618266	0.29499814170618266	0.29499814170618266	0.29499814170618266	0.29499814170618266	0.29499814170618266	0.29499814170618266	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	0.06398943936278188	1995.6233141541186	1995.6233141541186	1995.6233141541186	1995.6233141541186	1995.6233141541186	1995.6233141541186	1995.6233141541186	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	1995.854322856462	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719	873.8563181443719
7000	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	2688.333378157497	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	1350.2795868583921	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.11048171291212433	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	0.09038244991934136	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.222896444585	2688.242995707578	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727	1350.1892044084727
8000	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	3306.3058081457502	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	613.7614620699085	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.13803676409027632	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.020928759092869568	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	0.02287455325962875	3306.16777138166	3306.16777138166	3306.16777138166	3306.16777138166	3306.16777138166	3306.16777138166	3306.16777138166	3306.16777138166	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	3306.2848793866574	613.7405333108156	613.7405333108156	613.7405333108156	613.7405333108156	613.7405333108156	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489	613.7385875166489
9000	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	1506.233716906242	0.300674481100299	0.300674481100299	0.300674481100299	0.300674481100299	0.300674481100299	0.300674481100299	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.050909589702434616	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	0.3439929134704253	1505.9330424251418	1505.9330424251418	1505.9330424251418	1505.9330424251418	1505.9330424251418	1505.9330424251418	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1506.1828073165395	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717	1505.8897239927717
