it	posterior	prior	BD_lik	k_birth	k_death	root_age	death_age	tot_length
0	205291.34012767428	-8.939204409707004	205300.279332084	1	1	42.0	0.0	527223.0
1000	817608.5393236715	-1741.464207063659	819350.0035307351	1	1	42.0	0.0	527223.0
2000	856263.285478362	-3018.242195144609	859281.5276735066	2	2	42.0	0.0	527223.0
3000	876359.0893002816	-3859.3733428877626	880218.4626431693	2	3	42.0	0.0	527223.0
4000	829974.142988158	-3402.360075248952	833376.503063407	2	1	42.0	0.0	527223.0
5000	812481.3414759296	-2474.7777852737217	814956.1192612033	1	2	42.0	0.0	527223.0
6000	852754.1354234634	-3169.06529367461	855923.200717138	2	2	42.0	0.0	527223.0
7000	831650.0993729008	-4454.82203377066	836104.9214066714	2	2	42.0	0.0	527223.0
8000	856150.5215336249	-4326.870072580483	860477.3916062054	2	3	42.0	0.0	527223.0
9000	840732.1943773229	-1670.8165064382738	842403.0108837612	1	3	42.0	0.0	527223.0
